salePrice,bedroom,bathroom,sqftArea,sqftLot,yearBuilt,old,univ
245000,3,1.5,1669,14810.4,1963,no,PSU
405000,5,3.5,3208,12196.8,1997,no,PSU
480000,3,1.5,2160,28749.6,1956,no,PSU
323000,4,2.5,3060,12196.8,1979,no,PSU
243000,4,2.5,1944,14810.4,1967,no,PSU
235000,3,2.5,1823,13939.2,1961,no,PSU
279900,5,3,2186,10454,1961,no,PSU
415000,3,2.5,2656,11325.6,1938,yes,PSU
695000,5,4,3974,15681.6,1955,no,PSU
415000,4,2,2418,16988.4,1954,yes,PSU
340000,3,2.5,2050,10890,1940,yes,PSU
183000,3,1,864,6098,1958,no,PSU
389900,5,2,2704,27007.2,1977,no,PSU
495000,4,4,3760,12632.4,1988,no,PSU
590000,5,4,3741,12196.8,1996,no,PSU
172500,3,2,984,12196.8,1956,no,PSU
125000,2,1.5,1258,7405,1952,yes,PSU
220000,3,2,2282,8276,1947,yes,PSU
223900,3,1.5,1334,5227,1947,yes,PSU
285000,4,3,2834,13068,1965,no,PSU
260000,3,1.5,1368,16552.8,1957,no,PSU
155000,4,3,3259,13068,1976,no,PSU
266000,4,3,1745,12196.8,1965,no,PSU
309900,3,2.5,2676,17424,1986,no,PSU
395000,4,4,3250,11761.2,1977,no,PSU
300000,3,2,1701,14374.8,1956,no,PSU
315000,4,3,2660,14810.4,1985,no,PSU
130000,2,1.5,969,3920,1977,no,PSU
276500,3,3,1780,13939.2,1974,no,PSU
220000,3,2,1528,13068,1984,no,PSU
274000,3,2,2400,16988.4,1950,yes,PSU
300000,3,1.5,1768,13068,1953,yes,PSU
358500,3,2.5,1817,12632.4,1949,yes,PSU
259000,4,2,1920,16552.8,1969,no,PSU
465000,3,2,1687,11325.6,1952,yes,PSU
337500,4,2,2649,13068,1957,no,PSU
262500,4,2,2270,12632.4,1957,no,PSU
261000,3,1.5,2013,13068,1945,yes,PSU
415000,4,3,2976,15246,1958,no,PSU
342000,3,2,1788,13068,1940,yes,PSU
365000,4,2.5,2016,9147,1925,yes,PSU
380000,4,2.5,1681,9148,1939,yes,PSU
392000,3,2,1945,10018,1928,yes,PSU
320000,4,1.5,1736,6098,1929,yes,PSU
192790,4,2,2240,3920,1911,yes,PSU
507000,5,3,2235,9148,1920,yes,PSU
232000,3,2,1188,7841,1949,yes,PSU
249900,4,2,2010,7841,1930,yes,PSU
154000,2,1.5,976,3485,1986,no,PSU
379000,4,2,2247,14810.4,1967,no,PSU
115000,2,1,1010,3049,1975,no,PSU
200000,4,2,1071,7405,1951,yes,PSU
1015000,4,3,3606,12196.8,1995,no,PSU
675000,4,3,2484,14810.4,1937,yes,PSU
750000,5,4.5,5108,12196.8,2009,no,PSU
528000,4,2.5,2956,11325.6,1924,yes,PSU
185000,3,1,1037,7405,1950,yes,PSU
